id,is_control_task,mixed_set,mixed_topics,mixed_words,quartile,similarity,task_id,topic1_words,topic2_words,model
216476550,,<b>formula</b><br>predicate<br>truth<br>true<br><b>logic</b><br><b>logical</b><br>sentence<br><b>modal</b>,"[28, 11]","['logic', 'formula', 'modal', 'logical', 'sentence', 'truth', 'true', 'predicate']",0,0.8039586544036865,mix_28_11_closest,"['logic', 'formula', 'modal', 'logical']","['sentence', 'truth', 'true', 'predicate']",NMF_50
216476551,,<b>space</b><br>clock<br>light<br><b>spacetime</b><br>velocity<br><b>time</b><br><b>field</b><br>simultaneity,"[13, 35]","['space', 'spacetime', 'field', 'time', 'clock', 'velocity', 'light', 'simultaneity']",0,0.7969379425048828,mix_13_35_closest,"['space', 'spacetime', 'field', 'time']","['clock', 'velocity', 'light', 'simultaneity']",BERTopic_54
216476552,,explanatory<br><b>model</b><br><b>law</b><br>idealization<br><b>explanation</b><br>hempel<br><b>reduction</b><br>explanandum,[2],"['law', 'explanation', 'model', 'reduction', 'explanatory', 'hempel', 'idealization', 'explanandum']",-1,1.0,single,"['law', 'explanation', 'model', 'reduction']","['explanatory', 'hempel', 'idealization', 'explanandum']",CFMF_25
216476553,,<b>payoff</b><br>stag<br>equilibria<br>game<br><b>signalers</b><br><b>replicator</b><br>nash<br><b>huttegger</b>,[23],"['replicator', 'payoff', 'huttegger', 'signalers', 'equilibria', 'nash', 'game', 'stag']",-1,1.0,single,"['replicator', 'payoff', 'huttegger', 'signalers']","['equilibria', 'nash', 'game', 'stag']",Top2Vec_25
216476554,,speaker<br><b>predicate</b><br>utterance<br><b>semantics</b><br><b>meaning</b><br><b>language</b><br>semantic<br>sentence,[40],"['sentence', 'utterance', 'speaker', 'semantic', 'predicate', 'semantics', 'meaning', 'language']",-1,1.0,single,"['sentence', 'utterance', 'speaker', 'semantic']","['predicate', 'semantics', 'meaning', 'language']",CFMF-emb_51
216476555,,mechanic<br><b>equilibrium</b><br>quantum<br><b>energy</b><br><b>entropy</b><br>particle<br><b>law</b><br>measurement,"[1, 2]","['entropy', 'equilibrium', 'law', 'energy', 'quantum', 'particle', 'measurement', 'mechanic']",0,0.7671223878860474,mix_1_2_closest,"['entropy', 'equilibrium', 'law', 'energy']","['quantum', 'particle', 'measurement', 'mechanic']",CFMF-emb_24
216476556,,proof<br><b>formula</b><br><b>logic</b><br><b>logical</b><br>number<br><b>modal</b><br>mathematical<br>mathematics,"[43, 28]","['mathematics', 'mathematical', 'proof', 'number', 'logic', 'formula', 'modal', 'logical']",0,0.7837240695953369,mix_43_28_closest,"['mathematics', 'mathematical', 'proof', 'number']","['logic', 'formula', 'modal', 'logical']",NMF_50
216476557,,<b>unobservables</b><br><b>observability</b><br><b>unobservable</b><br>psillos<br><b>fraassen</b><br>stathis<br>realist<br>pessimistic,"[23, 37]","['psillos', 'pessimistic', 'realist', 'stathis', 'fraassen', 'unobservables', 'unobservable', 'observability']",0,0.7924398183822632,mix_23_37_closest,"['psillos', 'pessimistic', 'realist', 'stathis']","['fraassen', 'unobservables', 'unobservable', 'observability']",Top2Vec_48
216476558,,confirm<br><b>probability</b><br>raven<br><b>bayesian</b><br><b>frequency</b><br><b>chance</b><br>hypothesis<br>confirmation,"[16, 22]","['confirmation', 'raven', 'confirm', 'hypothesis', 'probability', 'bayesian', 'frequency', 'chance']",0,0.7766101956367493,mix_16_22_closest,"['confirmation', 'raven', 'confirm', 'hypothesis']","['probability', 'bayesian', 'frequency', 'chance']",CFMF_25
216476559,,<b>spacetime</b><br>geodesics<br><b>relativity</b><br><b>inertial</b><br>covariant<br>timelike<br>lorentz<br><b>relativistic</b>,[7],"['inertial', 'spacetime', 'relativity', 'relativistic', 'geodesics', 'covariant', 'lorentz', 'timelike']",-1,1.0,single,"['inertial', 'spacetime', 'relativity', 'relativistic']","['geodesics', 'covariant', 'lorentz', 'timelike']",Top2Vec_25
216476560,,<b>scientific</b><br>science<br><b>sociology</b><br>society<br><b>political</b><br>social<br><b>research</b><br>culture,[37],"['social', 'science', 'society', 'culture', 'scientific', 'research', 'sociology', 'political']",-1,1.0,single,"['social', 'science', 'society', 'culture']","['scientific', 'research', 'sociology', 'political']",CFMF_50
216476561,,<b>galileo</b><br>space<br>point<br>time<br><b>body</b><br><b>motion</b><br><b>newton</b><br>theory,"[6, 8]","['time', 'space', 'theory', 'point', 'newton', 'motion', 'galileo', 'body']",0,0.7897402048110962,mix_6_8_closest,"['time', 'space', 'theory', 'point']","['newton', 'motion', 'galileo', 'body']",BERTopic_10
216476562,,<b>social</b><br>action<br>morality<br><b>research</b><br><b>science</b><br>moral<br>agent<br><b>scientist</b>,"[14, 23]","['moral', 'action', 'agent', 'morality', 'social', 'science', 'research', 'scientist']",0,0.6847378611564636,mix_14_23_closest,"['moral', 'action', 'agent', 'morality']","['social', 'science', 'research', 'scientist']",CFMF-emb_24
216476563,,<b>world</b><br>statement<br><b>universal</b><br>nature<br><b>system</b><br>law<br><b>nomological</b><br>generalization,[37],"['law', 'statement', 'nature', 'generalization', 'world', 'nomological', 'universal', 'system']",-1,1.0,single,"['law', 'statement', 'nature', 'generalization']","['world', 'nomological', 'universal', 'system']",BERTopic_54
216476564,,quine<br><b>language</b><br><b>sentence</b><br><b>utterance</b><br>predicate<br><b>speaker</b><br>semantic<br>meaning,[19],"['sentence', 'language', 'speaker', 'utterance', 'meaning', 'quine', 'semantic', 'predicate']",-1,1.0,single,"['sentence', 'language', 'speaker', 'utterance']","['meaning', 'quine', 'semantic', 'predicate']",CFMF-emb_24
216476565,,<b>belief</b><br><b>knowledge</b><br>realist<br>theory<br><b>epistemic</b><br>scientific<br>realism<br><b>know</b>,"[7, 10]","['belief', 'knowledge', 'know', 'epistemic', 'theory', 'realist', 'realism', 'scientific']",0,0.7960129380226135,mix_7_10_closest,"['belief', 'knowledge', 'know', 'epistemic']","['theory', 'realist', 'realism', 'scientific']",BERTopic_25
216476566,,modernity<br>politics<br>political<br><b>bloor</b><br>feyerabend<br><b>sociological</b><br><b>sociologist</b><br><b>sociology</b>,"[19, 25]","['modernity', 'politics', 'political', 'feyerabend', 'sociologist', 'bloor', 'sociological', 'sociology']",0,0.8241285085678101,mix_19_25_closest,"['modernity', 'politics', 'political', 'feyerabend']","['sociologist', 'bloor', 'sociological', 'sociology']",Top2Vec_48
216476567,,science<br>scientific<br><b>evidence</b><br>theory<br><b>value</b><br>hypothesis<br><b>measure</b><br><b>probability</b>,"[2, 12]","['probability', 'value', 'measure', 'evidence', 'theory', 'scientific', 'science', 'hypothesis']",0,0.7376739382743835,mix_2_12_closest,"['probability', 'value', 'measure', 'evidence']","['theory', 'scientific', 'science', 'hypothesis']",LDA_25
216476568,,modernism<br><b>politics</b><br><b>modernity</b><br><b>feyerabend</b><br>postmodern<br><b>political</b><br>postmodernism<br>modernist,[19],"['modernity', 'politics', 'political', 'feyerabend', 'modernist', 'modernism', 'postmodernism', 'postmodern']",-1,1.0,single,"['modernity', 'politics', 'political', 'feyerabend']","['modernist', 'modernism', 'postmodernism', 'postmodern']",Top2Vec_48
216476569,,<b>motion</b><br><b>force</b><br><b>newton</b><br>einstein<br>clock<br>lorentz<br>velocity<br><b>body</b>,"[18, 23]","['motion', 'newton', 'body', 'force', 'clock', 'velocity', 'lorentz', 'einstein']",0,0.7673113346099854,mix_18_23_closest,"['motion', 'newton', 'body', 'force']","['clock', 'velocity', 'lorentz', 'einstein']",NMF_25
216476570,,verisimilitude<br><b>predicate</b><br><b>prob</b><br><b>true</b><br>constituent<br><b>amp</b><br>obligation<br>iff,[46],"['amp', 'predicate', 'true', 'prob', 'obligation', 'verisimilitude', 'constituent', 'iff']",-1,1.0,single,"['amp', 'predicate', 'true', 'prob']","['obligation', 'verisimilitude', 'constituent', 'iff']",NMF_50
216476571,,conditionalization<br>schervish<br><b>bet</b><br><b>utility</b><br><b>credence</b><br><b>bettor</b><br>finetti<br>jeffrey,[8],"['conditionalization', 'finetti', 'schervish', 'jeffrey', 'utility', 'bet', 'credence', 'bettor']",-1,1.0,single,"['conditionalization', 'finetti', 'schervish', 'jeffrey']","['utility', 'bet', 'credence', 'bettor']",Top2Vec_48
216476572,,<b>intervention</b><br>causation<br>event<br><b>causality</b><br><b>variable</b><br>causal<br>cause<br><b>probability</b>,[36],"['causal', 'causation', 'cause', 'event', 'intervention', 'variable', 'causality', 'probability']",-1,1.0,single,"['causal', 'causation', 'cause', 'event']","['intervention', 'variable', 'causality', 'probability']",CFMF-emb_51
216476573,,<b>batterman</b><br>superposition<br><b>idealization</b><br>quantum<br>eigenstates<br>eigenstate<br><b>idealize</b><br><b>approximation</b>,"[9, 12]","['eigenstates', 'eigenstate', 'quantum', 'superposition', 'idealization', 'batterman', 'idealize', 'approximation']",0,0.716180682182312,mix_9_12_closest,"['eigenstates', 'eigenstate', 'quantum', 'superposition']","['idealization', 'batterman', 'idealize', 'approximation']",Top2Vec_25
216476574,,peirce<br><b>experience</b><br>abduction<br><b>transcendental</b><br><b>cassirer</b><br>whewell<br><b>kant</b><br>husserl,"[34, 48]","['peirce', 'husserl', 'whewell', 'abduction', 'kant', 'transcendental', 'cassirer', 'experience']",0,0.8121308088302612,mix_34_48_closest,"['peirce', 'husserl', 'whewell', 'abduction']","['kant', 'transcendental', 'cassirer', 'experience']",CFMF_50
216476575,,<b>force</b><br><b>ceteris</b><br>regularity<br>generalization<br>law<br><b>nature</b><br>statement<br><b>condition</b>,[14],"['law', 'statement', 'regularity', 'generalization', 'condition', 'force', 'nature', 'ceteris']",-1,1.0,single,"['law', 'statement', 'regularity', 'generalization']","['condition', 'force', 'nature', 'ceteris']",NMF_50
216476576,,<b>set</b><br>case<br>conditional<br>condition<br>paradox<br><b>counterfactual</b><br><b>revision</b><br><b>conditionals</b>,[47],"['paradox', 'case', 'conditional', 'condition', 'revision', 'set', 'conditionals', 'counterfactual']",-1,1.0,single,"['paradox', 'case', 'conditional', 'condition']","['revision', 'set', 'conditionals', 'counterfactual']",LDA_54
216476577,,<b>explanation</b><br><b>explanatory</b><br>scientific<br>theory<br><b>law</b><br><b>understanding</b><br>realist<br>realism,"[11, 10]","['explanation', 'understanding', 'law', 'explanatory', 'theory', 'realist', 'realism', 'scientific']",0,0.7514225244522095,mix_11_10_closest,"['explanation', 'understanding', 'law', 'explanatory']","['theory', 'realist', 'realism', 'scientific']",BERTopic_25
216476579,,theory<br><b>realism</b><br>problem<br><b>success</b><br><b>realist</b><br><b>entity</b><br>scientific<br>popper,"[13, 50]","['theory', 'scientific', 'problem', 'popper', 'success', 'realism', 'realist', 'entity']",0,0.7842109799385071,mix_13_50_closest,"['theory', 'scientific', 'problem', 'popper']","['success', 'realism', 'realist', 'entity']",LDA_54
216476580,,<b>paradox</b><br><b>conditional</b><br><b>case</b><br>false<br>truth<br>proposition<br><b>condition</b><br>true,"[47, 4]","['paradox', 'case', 'conditional', 'condition', 'truth', 'true', 'proposition', 'false']",0,0.7737922668457031,mix_47_4_closest,"['paradox', 'case', 'conditional', 'condition']","['truth', 'true', 'proposition', 'false']",LDA_54
216476581,,<b>einstein</b><br>measurement<br>particle<br>quantum<br>mechanic<br><b>motion</b><br><b>space</b><br><b>spacetime</b>,"[0, 2]","['quantum', 'particle', 'measurement', 'mechanic', 'einstein', 'spacetime', 'space', 'motion']",0,0.7757389545440674,mix_0_2_closest,"['quantum', 'particle', 'measurement', 'mechanic']","['einstein', 'spacetime', 'space', 'motion']",CFMF-emb_10
216476582,,<b>player</b><br><b>rawls</b><br>harsanyi<br>moral<br>morality<br><b>rationality</b><br>morally<br><b>utilitarianism</b>,[14],"['morality', 'morally', 'harsanyi', 'moral', 'utilitarianism', 'player', 'rationality', 'rawls']",-1,1.0,single,"['morality', 'morally', 'harsanyi', 'moral']","['utilitarianism', 'player', 'rationality', 'rawls']",Top2Vec_48
216476583,,shogenji<br>meijs<br>fitelson<br>confirmation<br><b>inductive</b><br><b>finetti</b><br><b>probability</b><br><b>exchangeable</b>,"[29, 13]","['fitelson', 'shogenji', 'meijs', 'confirmation', 'inductive', 'finetti', 'probability', 'exchangeable']",0,0.8232687711715698,mix_29_13_closest,"['fitelson', 'shogenji', 'meijs', 'confirmation']","['inductive', 'finetti', 'probability', 'exchangeable']",Top2Vec_48
216476584,,<b>statement</b><br><b>nature</b><br>property<br>system<br>world<br><b>law</b><br><b>generalization</b><br>account,[24],"['law', 'nature', 'generalization', 'statement', 'world', 'system', 'property', 'account']",-1,1.0,single,"['law', 'nature', 'generalization', 'statement']","['world', 'system', 'property', 'account']",BERTopic_25
216476585,,transcendental<br><b>scientific</b><br>object<br>experience<br><b>science</b><br>kant<br><b>social</b><br><b>theory</b>,"[1, 41]","['science', 'scientific', 'theory', 'social', 'kant', 'object', 'experience', 'transcendental']",0,0.7467895150184631,mix_1_41_closest,"['science', 'scientific', 'theory', 'social']","['kant', 'object', 'experience', 'transcendental']",BERTopic_54
216476586,,lottery<br><b>justification</b><br>aggregation<br>dretske<br><b>doxastic</b><br>warrant<br><b>belief</b><br><b>epistemic</b>,"[28, 46]","['dretske', 'lottery', 'warrant', 'aggregation', 'belief', 'epistemic', 'justification', 'doxastic']",0,0.774422287940979,mix_28_46_closest,"['dretske', 'lottery', 'warrant', 'aggregation']","['belief', 'epistemic', 'justification', 'doxastic']",CFMF_50
216476587,,structural<br>osr<br><b>theoretical</b><br><b>term</b><br>structure<br><b>theory</b><br><b>model</b><br>object,"[10, 53]","['theory', 'theoretical', 'term', 'model', 'structure', 'structural', 'object', 'osr']",0,0.7957334518432617,mix_10_53_closest,"['theory', 'theoretical', 'term', 'model']","['structure', 'structural', 'object', 'osr']",BERTopic_54
216476588,,civilization<br><b>sociology</b><br><b>mankind</b><br>t'he<br><b>philosophic</b><br>spiritual<br><b>society</b><br>lundberg,[2],"['mankind', 'philosophic', 'sociology', 'society', 'civilization', 'spiritual', ""t'he"", 'lundberg']",-1,1.0,single,"['mankind', 'philosophic', 'sociology', 'society']","['civilization', 'spiritual', ""t'he"", 'lundberg']",Top2Vec_48
216476589,,<b>ceteris</b><br>cartwright<br>generalization<br><b>regularity</b><br><b>law</b><br>universe<br><b>paribus</b><br>necessity,[13],"['law', 'ceteris', 'paribus', 'regularity', 'cartwright', 'generalization', 'necessity', 'universe']",-1,1.0,single,"['law', 'ceteris', 'paribus', 'regularity']","['cartwright', 'generalization', 'necessity', 'universe']",CFMF-emb_51
216476590,,seventeenth<br><b>sensibility</b><br><b>kant</b><br>descartes<br>galileo<br><b>kantian</b><br><b>transcendental</b><br>newton,"[4, 22]","['newton', 'seventeenth', 'descartes', 'galileo', 'kant', 'transcendental', 'kantian', 'sensibility']",0,0.7673561573028564,mix_4_22_closest,"['newton', 'seventeenth', 'descartes', 'galileo']","['kant', 'transcendental', 'kantian', 'sensibility']",Top2Vec_48
216476591,,<b>gene</b><br><b>phenotypic</b><br>developmental<br>evolutionary<br><b>organism</b><br>genetic<br>heritable<br><b>phenotype</b>,[1],"['gene', 'phenotypic', 'phenotype', 'organism', 'genetic', 'evolutionary', 'developmental', 'heritable']",-1,1.0,single,"['gene', 'phenotypic', 'phenotype', 'organism']","['genetic', 'evolutionary', 'developmental', 'heritable']",Top2Vec_48
216476592,,economist<br>economic<br>theory<br><b>case</b><br><b>evidence</b><br><b>hypothesis</b><br>economics<br><b>probability</b>,"[19, 1]","['economic', 'economics', 'economist', 'theory', 'probability', 'hypothesis', 'evidence', 'case']",0,0.7604119777679443,mix_19_1_closest,"['economic', 'economics', 'economist', 'theory']","['probability', 'hypothesis', 'evidence', 'case']",BERTopic_25
216476593,,<b>einstein</b><br>velocity<br>lorentz<br>space<br><b>relativity</b><br><b>spacetime</b><br>inertial<br><b>clock</b>,[23],"['spacetime', 'einstein', 'clock', 'relativity', 'lorentz', 'inertial', 'space', 'velocity']",-1,1.0,single,"['spacetime', 'einstein', 'clock', 'relativity']","['lorentz', 'inertial', 'space', 'velocity']",CFMF_25
216476594,,<b>mental</b><br>society<br><b>supervenience</b><br>moral<br><b>property</b><br>individual<br><b>physical</b><br>social,"[0, 17]","['social', 'moral', 'individual', 'society', 'property', 'supervenience', 'mental', 'physical']",0,0.6901545524597168,mix_0_17_closest,"['social', 'moral', 'individual', 'society']","['property', 'supervenience', 'mental', 'physical']",NMF_50
216476595,,<b>belief</b><br><b>agent</b><br>utility<br>action<br><b>game</b><br>player<br>preference<br><b>epistemic</b>,[1],"['belief', 'agent', 'epistemic', 'game', 'player', 'action', 'utility', 'preference']",-1,1.0,single,"['belief', 'agent', 'epistemic', 'game']","['player', 'action', 'utility', 'preference']",CFMF_10
216476596,,gunky<br><b>markosian</b><br><b>endurantist</b><br>truthmakers<br><b>mereological</b><br><b>truthmaking</b><br>merricks<br>truthmaker,[17],"['mereological', 'markosian', 'truthmaking', 'endurantist', 'gunky', 'truthmaker', 'merricks', 'truthmakers']",-1,1.0,single,"['mereological', 'markosian', 'truthmaking', 'endurantist']","['gunky', 'truthmaker', 'merricks', 'truthmakers']",Top2Vec_48
216476597,,wave<br><b>measurement</b><br><b>quantum</b><br>probability<br><b>particle</b><br>spin<br><b>mechanic</b><br>electron,[2],"['quantum', 'particle', 'measurement', 'mechanic', 'wave', 'spin', 'probability', 'electron']",-1,1.0,single,"['quantum', 'particle', 'measurement', 'mechanic']","['wave', 'spin', 'probability', 'electron']",CFMF-emb_24
216476598,,theoretical<br><b>scale</b><br>theory<br><b>quantity</b><br><b>measurement</b><br><b>measure</b><br>term<br>model,"[22, 16]","['measurement', 'scale', 'measure', 'quantity', 'theory', 'theoretical', 'term', 'model']",0,0.7410654425621033,mix_22_16_closest,"['measurement', 'scale', 'measure', 'quantity']","['theory', 'theoretical', 'term', 'model']",BERTopic_25
216476599,,<b>state</b><br><b>system</b><br>quantum<br>field<br><b>mechanic</b><br>theory<br><b>measurement</b><br>particle,"[25, 26]","['particle', 'quantum', 'field', 'theory', 'state', 'mechanic', 'measurement', 'system']",0,0.7716325521469116,mix_25_26_closest,"['particle', 'quantum', 'field', 'theory']","['state', 'mechanic', 'measurement', 'system']",LDA_54
216476600,,<b>intervention</b><br>causation<br>event<br><b>causality</b><br><b>variable</b><br>causal<br>cause<br><b>causally</b>,[36],"['causal', 'causation', 'cause', 'event', 'intervention', 'variable', 'causality', 'causally']",-1,1.0,single,"['causal', 'causation', 'cause', 'event']","['intervention', 'variable', 'causality', 'causally']",CFMF_50
216476601,,kant<br>schlick<br><b>logic</b><br><b>science</b><br><b>husserl</b><br><b>carnap</b><br>philosophy<br>experience,[8],"['kant', 'philosophy', 'schlick', 'experience', 'science', 'logic', 'husserl', 'carnap']",-1,1.0,single,"['kant', 'philosophy', 'schlick', 'experience']","['science', 'logic', 'husserl', 'carnap']",CFMF-emb_24
216476602,,hypothesis<br><b>inductive</b><br>parsimony<br><b>sample</b><br><b>probability</b><br>simplicity<br><b>carnap</b><br>curve,"[42, 48]","['simplicity', 'curve', 'parsimony', 'hypothesis', 'inductive', 'probability', 'carnap', 'sample']",0,0.7740642428398132,mix_42_48_closest,"['simplicity', 'curve', 'parsimony', 'hypothesis']","['inductive', 'probability', 'carnap', 'sample']",BERTopic_54
216476603,,<b>model</b><br><b>simulation</b><br>regularity<br>statement<br><b>representation</b><br><b>system</b><br>law<br>condition,"[6, 14]","['model', 'simulation', 'system', 'representation', 'law', 'condition', 'statement', 'regularity']",0,0.70207679271698,mix_6_14_closest,"['model', 'simulation', 'system', 'representation']","['law', 'condition', 'statement', 'regularity']",NMF_25
216476605,,<b>game</b><br>knowledge<br>belief<br>epistemic<br><b>agent</b><br><b>decision</b><br>believe<br><b>action</b>,"[3, 6]","['action', 'agent', 'decision', 'game', 'belief', 'knowledge', 'epistemic', 'believe']",0,0.7144513130187988,mix_3_6_closest,"['action', 'agent', 'decision', 'game']","['belief', 'knowledge', 'epistemic', 'believe']",LDA_25
216476606,,truth<br><b>language</b><br><b>meaning</b><br>logic<br><b>sentence</b><br><b>predicate</b><br>linguistic<br>semantic,[17],"['sentence', 'language', 'predicate', 'meaning', 'truth', 'semantic', 'linguistic', 'logic']",-1,1.0,single,"['sentence', 'language', 'predicate', 'meaning']","['truth', 'semantic', 'linguistic', 'logic']",CFMF_50
216476607,,<b>choice</b><br><b>rational</b><br><b>credence</b><br>utility<br>agent<br>preference<br><b>probability</b><br>decision,[51],"['decision', 'agent', 'utility', 'preference', 'probability', 'choice', 'rational', 'credence']",-1,1.0,single,"['decision', 'agent', 'utility', 'preference']","['probability', 'choice', 'rational', 'credence']",LDA_54
216476608,,<b>quantifier</b><br><b>semantics</b><br>intensional<br>connective<br><b>tarski</b><br>quantification<br>cref<br><b>provable</b>,[1],"['quantifier', 'semantics', 'provable', 'tarski', 'quantification', 'connective', 'intensional', 'cref']",-1,1.0,single,"['quantifier', 'semantics', 'provable', 'tarski']","['quantification', 'connective', 'intensional', 'cref']",Top2Vec_10
216476609,,<b>understanding</b><br>event<br><b>explanation</b><br>causation<br>causal<br>cause<br><b>law</b><br><b>explanatory</b>,"[8, 11]","['causal', 'cause', 'causation', 'event', 'explanation', 'understanding', 'law', 'explanatory']",0,0.7337465286254883,mix_8_11_closest,"['causal', 'cause', 'causation', 'event']","['explanation', 'understanding', 'law', 'explanatory']",BERTopic_25
